course_code,status,credits,term,year_taken,grade,percentage,source,override_course_code,override_exclusive_group_id,override_exclusive_requirement_area,override_allow_double_count,override_double_count_groups,override_note
BIOL121,completed,3,2021W1,1,A-,82,synthetic,,,,,,
CHEM121,completed,4,2021W1,1,A,86,synthetic,,,,,,
CHEM123,completed,4,2021W2,1,A-,83,synthetic,,,,,,
SCIE113,completed,3,2021W1,1,A,85,synthetic,,,,,,
DSCI100,completed,3,2021W2,1,A-,81,synthetic,,,,,,
ENVR100,completed,3,2021W2,1,A-,83,synthetic,,,,,,
MATH100,completed,3,2021W1,1,A-,82,synthetic,,,,,,
MATH101,completed,3,2021W2,1,B+,79,synthetic,,,,,,
PHYS131,completed,3,2021W2,1,B+,78,synthetic,,,,,,
BIOL230,completed,3,2022W1,2,A-,82,synthetic,,,,,,
CHEM205,completed,3,2022W1,2,B+,78,synthetic,,,,,,
ENVR200,completed,3,2022W1,2,A-,82,synthetic,,,,,,
ENVR205,completed,1,2022W1,2,P,,synthetic,,,,,,
ENVR240,completed,3,2022W2,2,A,85,synthetic,,,,,,
EOSC340,completed,3,2022W2,2,B+,78,synthetic,,,,,,
STAT201,completed,3,2022W2,2,A-,81,synthetic,,,,,,
BIOL300,completed,3,2023W1,3,A-,82,synthetic,,,,,,
BIOL306,completed,3,2023W1,3,A-,83,synthetic,,,,,,
BIOL305,completed,3,2023W2,3,B+,78,synthetic,,,,,,
CONS330,completed,3,2023W2,3,A-,82,synthetic,,,,,,
ENVR300,completed,3,2023W1,3,A-,82,synthetic,,,,,,
ENVR305,completed,3,2023W1,3,B+,79,synthetic,,,,,,
ENVR350,completed,3,2023W2,3,A,85,synthetic,,,,,,
ENVR449,in_progress,6,2024W1,4,,,synthetic,,,,,,
ENVR450,planned,3,2024W2,4,,,synthetic,,,,,,
EOSC345,completed,3,2023W2,3,B+,78,synthetic,,,,,,
CHEM211,completed,3,2023W1,3,B+,78,synthetic,,,,,,
ATSC303,completed,3,2023W2,3,A-,81,synthetic,,,,,,
ECON371,completed,3,2023W1,3,A-,82,synthetic,,,,,,
HGSE301,completed,3,2023W2,3,A,86,synthetic,,,,,,
BIOL404,planned,3,2024W2,4,,,synthetic,,,,,,
BIOL427,planned,3,2024W2,4,,,synthetic,,,,,,
FRST302,planned,3,2024W2,4,,,synthetic,,,,,,
GEOS307,completed,3,2023W2,3,A-,82,synthetic,,,,,,
EOSC372,planned,3,2024W2,4,,,synthetic,,,,,,
EOSC373,planned,3,2024W2,4,,,synthetic,,,,,,
