course_code,status,credits,term,year_taken,grade,percentage,source,override_course_code,override_exclusive_group_id,override_exclusive_requirement_area,override_allow_double_count,override_double_count_groups,override_note
BIOL121,completed,3,2021W1,1,A-,82,synthetic,,,,,,
BIOL180,completed,2,2021W1,1,A-,82,synthetic,,,,,,
CHEM121,completed,4,2021W1,1,A,86,synthetic,,,,,,
CHEM123,completed,4,2021W2,1,A-,83,synthetic,,,,,,
DSCI100,completed,3,2021W2,1,A-,81,synthetic,,,,,,
GRSJ101,completed,3,2021W1,1,A,85,synthetic,,,,,,
MATH100,completed,3,2021W1,1,A-,82,synthetic,,,,,,
MATH101,completed,3,2021W2,1,B+,79,synthetic,,,,,,
PHYS131,completed,3,2021W2,1,B+,78,synthetic,,,,,,
SCIE113,completed,3,2021W1,1,A,85,synthetic,,,,,,
ASIC220,completed,3,2021W1,2,A,85,synthetic,,,,,,
ATSC201,completed,3,2021W1,2,A,85,synthetic,,,,,,
BIOL300,completed,3,2021W1,2,A,85,synthetic,,,,,,
BIOL230,completed,3,2022W1,2,A-,82,synthetic,,,,,,
CHEM205,completed,3,2022W1,2,B+,78,synthetic,,,,,,
ENVR200,completed,3,2022W1,2,A-,82,synthetic,,,,,,
ENVR201,completed,1,2022W1,2,P,,synthetic,,,,,,
EOSC340,completed,3,2022W2,2,B+,78,synthetic,,,,,,
GRSJ200,completed,3,2022W2,2,B+,78,synthetic,,,,,,
WRDS150,completed,3,2022W2,2,B+,78,synthetic,,,,,,
CHEM301,completed,3,2022W2,3,B+,78,synthetic,,ENSC_2024_2025_MAJOR_013,,,,
CONS200,completed,3,2022W2,3,B+,78,synthetic,,,,,,
ENVR300,completed,3,2023W1,3,A-,82,synthetic,,,,,,
ENVR301,completed,1,2022W1,2,P,,synthetic,,,,,,
ENVR440,completed,3,2023W1,3,A-,82,synthetic,,,,TRUE,ENSC_2024_2025_MAJOR_023;ENSC_2024_2025_MAJOR_AOC_SUSTAINABILITY_SCIENCE_002,
EOSC372,completed,3,2023W1,3,A-,82,synthetic,,,,,,
FRST443,completed,3,2023W1,3,A-,82,synthetic,,,,,,
GEOG302,completed,3,2023W1,3,A-,82,synthetic,,,,,,
GEOG312,completed,3,2023W1,3,A-,82,synthetic,,,,,,
PHIL332,completed,3,2023W1,3,A-,82,synthetic,,,,,,
SOCI360,completed,3,2023W1,3,A-,82,synthetic,,,,,,
EOSC398,completed,3,2023W1,3,P,,synthetic,,,,,,
EOSC399,completed,3,2023W1,3,P,,synthetic,,,,,,
EOSC498,completed,3,2023W1,3,P,,synthetic,,,,,,
GEOS309,completed,3,2023W1,3,P,,synthetic,,,,,,
ENVR400,Planned,6,2023W1,4,,,synthetic,,,,,,
BIOL306,Planned,3,2023W1,4,,,synthetic,,,,,,
ENVR401,Planned,1,2023W1,4,,,synthetic,,,,,,
ENVR410,Planned,3,2023W1,4,,,synthetic,,,,,,
ENVR402,Planned,3,2023W1,4,,,synthetic,,,,,,
LFS340,Planned,3,2023W1,4,,,synthetic,,,,,,
HGSE330,Planned,3,2023W1,4,,,synthetic,,,Area of Concentration,,,
HGSE331,Planned,3,2023W1,4,,,synthetic,,,,,,
HGSE332,Planned,3,2023W1,4,,,synthetic,,,,,,
HGSE333,Planned,3,2023W1,4,,,synthetic,,,,,,
