course_code,status,credits,term,year_taken,grade,percentage,source,override_course_code,override_exclusive_group_id,override_exclusive_requirement_area,override_allow_double_count,override_double_count_groups,override_note
CHEM115,completed,1,2021W1,1,P,,synthetic,,ENSC_2024_2025_MAJOR_003,,,,
CHEM130,completed,3,2021W1,1,P,,synthetic,,ENSC_2024_2025_MAJOR_004,,,,
CHEM120,completed,3,2021W1,1,P,,synthetic,,ENSC_2024_2025_MAJOR_003,,,,
CHEM135,completed,1,2021W1,1,P,,synthetic,,ENSC_2024_2025_MAJOR_004,,,,
MATH101,completed,3,2021W1,1,P,,synthetic,,,,,,
MATH100,completed,3,2021W1,1,P,,synthetic,,,,,,
BIOL121,completed,3,2021W1,1,P,,synthetic,,,,,,
CHEM121,completed,4,2021W1,1,F,,synthetic,,,,,,
CPSC110,completed,4,2021W2,1,W,,synthetic,,,,,,
EOSC112,completed,3,2021W2,1,P,,synthetic,,,,,,
MATH120,completed,3,2021W1,1,W,,synthetic,,,,,,
PSYC101,completed,3,2021W2,1,P,,synthetic,,,,,,
SCIE113,completed,3,2021W1,1,P,,synthetic,,,,,,
WRDS150,completed,3,2021W1,1,F,,synthetic,,,,,,
BIOL200,completed,3,2021W1,2,F,,synthetic,,,,,,
BIOL300,completed,3,2021W1,2,P,,synthetic,,,,,,
CENS202,completed,3,2022W1,2,P,,synthetic,,,,,,
CHEM203,completed,4,2022W1,2,W,,synthetic,,,,,,
CHEM208,completed,3,2022W1,2,F,,synthetic,,,,,,
MATH200,completed,1,2022W1,2,P,,synthetic,,,,,,
PSYC102,completed,3,2022W2,2,P,,synthetic,,,,,,
APBI200,completed,3,2022W2,2,P,,synthetic,,,,,,
BIOL230,completed,3,2022W2,2,P,,synthetic,,,,,,
ENGL110,completed,3,2022W2,2,P,,synthetic,,,,,,
APBI423,completed,3,2022W2,3,P,,synthetic,UFOR403,,,,,
CHEM205,completed,3,2022W2,3,F,,synthetic,,,,,,
CHEM233,completed,3,2023W1,3,F,,synthetic,,,,,,
CONS340,completed,3,2022W1,3,P,,synthetic,,,,,,
ENVR200,completed,3,2023W1,3,P,,synthetic,,,,,,
ENVR300,completed,3,2023W1,3,P,,synthetic,,,,,,
EOSC372,completed,3,2023W1,3,F,,synthetic,,,,,,
GEOS200,completed,3,2023W1,3,P,,synthetic,,,,,,
CHEM233,completed,3,2023W1,3,P,,synthetic,,,,,,
BIOL180,completed,2,2023W1,4,P,,synthetic,,,,,,
BIOL209,completed,4,2023W1,4,P,,synthetic,,,,,,
CHEM205,completed,3,2023W1,4,P,,synthetic,,,,,,
CPSC103,completed,3,2023W1,4,W,,synthetic,,,,,,
EOSC372,completed,3,2023W1,4,P,,synthetic,,,,,,
GEOS370,completed,3,2023W1,4,P,,synthetic,,,,,,
BIOL314,completed,3,2023W1,4,P,,synthetic,,,,,,
CPSC103,completed,3,2023W1,4,F,,synthetic,,,,,,
ENST311,completed,3,2023W1,4,P,,synthetic,,,,,,
GEOG374,completed,3,2023W1,4,P,,synthetic,,,,,,
GEOS103,completed,3,2023W1,4,P,,synthetic,,,,,,
GEOS372,completed,3,2023W1,4,P,,synthetic,,,,,,
GEOS373,completed,3,2023W1,4,P,,synthetic,,,,,,
ENVR400,in_progress,6,2026W,4,,,synthetic,,,,,,
BIOL306,in_progress,3,2026W,4,,,synthetic,,,,,,
ENVR430,in_progress,3,2026W,4,,,synthetic,,,,,,
GEOS407,in_progress,3,2026W,4,,,synthetic,,,,,,
CPSC103,in_progress,3,2026W,4,,,synthetic,,,,,,
BIOL427,planned,3,2026W,4,,,synthetic,,,,,,
